"Scope","Bucket","Path","Bytes","KB","Lines","Ext"
"archive/Idiots2","archive/Idiots2","archive/Idiots2/P01-product-truth/REPORT.md","66180","64.63","1373",".md"
"archive/Idiots2","archive/Idiots2","archive/Idiots2/P02-engine-lock/REPORT.md","48202","47.07","1005",".md"
"archive/Idiots2","archive/Idiots2","archive/Idiots2/P03-select-delete/REPORT.md","56663","55.33","1278",".md"
"archive/Idiots2","archive/Idiots2","archive/Idiots2/P04-orbit-continuity/REPORT.md","60507","59.09","1361",".md"
"archive/Idiots2","archive/Idiots2","archive/Idiots2/P05-symbols-svg/REPORT.md","54671","53.39","1176",".md"
"archive/Idiots2","archive/Idiots2","archive/Idiots2/P06-save-honesty/REPORT.md","56933","55.6","1157",".md"
"archive/Idiots2","archive/Idiots2","archive/Idiots2/P07-draw-place-journey/REPORT.md","46812","45.71","1030",".md"
"archive/Idiots2","archive/Idiots2","archive/Idiots2/P08-mesh-quality/REPORT.md","50160","48.98","1049",".md"
"archive/Idiots2","archive/Idiots2","archive/Idiots2/P09-shortcuts-chrome/REPORT.md","98226","95.92","2254",".md"
"archive/Idiots2","archive/Idiots2","archive/Idiots2/P10-evidence-handover/REPORT.md","53493","52.24","1081",".md"
"archive/Idiots2","archive/Idiots2","archive/Idiots2/README.md","1006","0.98","19",".md"
"archive/museum (plan-related)","archive/museum/a-track-archive","archive/museum/a-track-archive/A1-admin-svg-publish.md","960","0.94","35",".md"
"archive/museum (plan-related)","archive/museum/plans1-residual","archive/museum/plans1-residual/00-START.md","8885","8.68","189",".md"
"archive/museum (plan-related)","archive/museum/plans1-residual","archive/museum/plans1-residual/admin-svg-backend/2026-07-10-global-standard-modules.md","34657","33.84","805",".md"
"archive/museum (plan-related)","archive/museum/plans1-residual","archive/museum/plans1-residual/admin-svg-backend/admin-current.md","1276","1.25","24",".md"
"archive/museum (plan-related)","archive/museum/plans1-residual","archive/museum/plans1-residual/admin-svg-backend/admin-proposed.md","2670","2.61","41",".md"
"archive/museum (plan-related)","archive/museum/plans1-residual","archive/museum/plans1-residual/admin-svg-backend/README.md","635","0.62","13",".md"
"archive/museum (plan-related)","archive/museum/plans1-residual","archive/museum/plans1-residual/admin-svg-backend/svg-pipeline-current.md","3501","3.42","57",".md"
