## Network requests
Showing 1-30 of 42 (Page 1 of 2).
Next page: 1
reqid=46 GET http://127.0.0.1:3000/planner/guest/?plannerDevTools=1 [200]
reqid=47 GET http://127.0.0.1:3000/_next/static/media/CiscoSans-s.p.04frzrndau50r.ttf [200]
reqid=48 GET http://127.0.0.1:3000/_next/static/media/CiscoSans_Bold-s.p.0i153ldcs640s.ttf [200]
reqid=49 GET http://127.0.0.1:3000/_next/static/media/CiscoSans_ExtraLight-s.p.1-1k14lqo7h6e.ttf [200]
reqid=50 GET http://127.0.0.1:3000/_next/static/media/CiscoSans_Thin-s.p.0270w1ncbg2ja.ttf [200]
reqid=51 GET http://127.0.0.1:3000/_next/static/media/HelveticaNeue_Bold-s.p.044yaqdafsbe7.otf [200]
reqid=52 GET http://127.0.0.1:3000/_next/static/media/HelveticaNeue_Light-s.p.1tibdukhqwz_v.otf [200]
reqid=53 GET http://127.0.0.1:3000/_next/static/media/HelveticaNeue_Medium-s.p.01-293g12s-6p.otf [200]
reqid=54 GET http://127.0.0.1:3000/_next/static/media/HelveticaNeue_Roman-s.p.1lyp7329tzmll.woff2 [200]
reqid=55 GET http://127.0.0.1:3000/_next/static/chunks/site_1u_fpiq._.css [304]
reqid=56 GET http://127.0.0.1:3000/_next/static/chunks/site_app_css_core_locked_planner_open3d-workspace_10yc1zg.css [304]
reqid=57 GET http://127.0.0.1:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1b0sps6._.js [304]
reqid=58 GET http://127.0.0.1:3000/_next/static/chunks/0h2d_next_dist_compiled_next-devtools_index_19b_evj.js [304]
reqid=59 GET http://127.0.0.1:3000/_next/static/chunks/0h2d_next_dist_compiled_react-dom_1oyhln1._.js [304]
reqid=60 GET http://127.0.0.1:3000/_next/static/chunks/0h2d_next_dist_compiled_react-server-dom-turbopack_036o16l._.js [304]
reqid=61 GET http://127.0.0.1:3000/_next/static/chunks/0h2d_next_dist_compiled_1fslpw3._.js [304]
reqid=62 GET http://127.0.0.1:3000/_next/static/chunks/0h2d_next_dist_client_1j7-7q0._.js [304]
reqid=63 GET http://127.0.0.1:3000/_next/static/chunks/0h2d_next_dist_183789-._.js [304]
reqid=64 GET http://127.0.0.1:3000/_next/static/chunks/0vvp_%40swc_helpers_cjs_0vb02wp._.js [304]
reqid=65 GET http://127.0.0.1:3000/_next/static/chunks/site_1anvha4._.js [304]
reqid=66 GET http://127.0.0.1:3000/_next/static/chunks/turbopack-site_08mss28._.js [304]
reqid=67 GET http://127.0.0.1:3000/_next/static/chunks/node_modules__pnpm_1gix3pj._.js [304]
reqid=68 GET http://127.0.0.1:3000/_next/static/chunks/site_1q-w4j-._.js [304]
reqid=69 GET http://127.0.0.1:3000/_next/static/chunks/site_app_layout_tsx_0f5g4ho._.js [304]
reqid=70 GET http://127.0.0.1:3000/_next/static/chunks/site_features_site-assistant_UnifiedAssistant_tsx_1_2fthi._.js [304]
reqid=71 GET http://127.0.0.1:3000/_next/static/chunks/site_0i9ltuf._.js [304]
reqid=72 GET http://127.0.0.1:3000/_next/static/chunks/0h2d_next_1m30xb-._.js [304]
reqid=73 GET http://127.0.0.1:3000/_next/static/chunks/1hn7_tailwind-merge_dist_bundle-mjs_mjs_04a_myf._.js [304]
reqid=74 GET http://127.0.0.1:3000/_next/static/chunks/0ehm_framer-motion_dist_es_03ten52._.js [304]
reqid=75 GET http://127.0.0.1:3000/_next/static/chunks/14c7_motion-dom_dist_es_1id03j3._.js [304]

