file,line,class,prop,val,category
app/(site)/about/page.tsx,27,min-h-[42rem],min-h,42rem,min
app/(site)/about/page.tsx,49,min-h-[34rem],min-h,34rem,min
app/(site)/about/page.tsx,49,md:min-h-[46rem],min-h,46rem,min
app/(site)/compare/page.tsx,247,min-w-[47.5rem],min-w,47.5rem,min
app/(site)/portfolio/page.tsx,59,h-[24rem],h,24rem,responsive
app/(site)/portfolio/page.tsx,59,md:h-[34rem],h,34rem,responsive
app/(site)/products/[category]/loading.tsx,4,min-h-[25rem],min-h,25rem,min
app/(site)/projects/page.tsx,30,min-h-[16.5rem],min-h,16.5rem,min
app/(site)/projects/page.tsx,30,md:min-h-[18.5rem],min-h,18.5rem,min
app/(site)/showrooms/page.tsx,18,h-[26rem],h,26rem,responsive
app/(site)/showrooms/page.tsx,18,md:h-[38rem],h,38rem,responsive
app/(site)/solutions/page.tsx,48,min-h-[20rem],min-h,20rem,min
app/(site)/solutions/page.tsx,48,sm:min-h-[26rem],min-h,26rem,min
app/(site)/solutions/page.tsx,48,lg:min-h-[32rem],min-h,32rem,min
app/(site)/sustainability/page.tsx,13,lg:min-h-[42rem],min-h,42rem,min
app/(site)/sustainability/page.tsx,27,min-h-[28rem],min-h,28rem,min
app/admin/themes/ThemeEditor.tsx,131,min-h-[31.25rem],min-h,31.25rem,min
components/home/ClientQuote.tsx,12,h-[0.0625rem],h,0.0625rem,fixed
components/home/CollaborationSection.tsx,9,min-h-[32.5rem],min-h,32.5rem,min
components/home/Collections.tsx,100,h-[1.125rem],h,1.125rem,fixed
components/home/Collections.tsx,100,w-[1.125rem],w,1.125rem,fixed
components/home/Hero.tsx,80,min-h-[26.25rem],min-h,26.25rem,min
components/home/Hero.tsx,81,md:min-h-[61.25rem],min-h,61.25rem,min
components/home/Hero.tsx,146,max-w-[44rem],max-w,44rem,max
components/home/Hero.tsx,147,max-w-[44rem],max-w,44rem,max
components/support/VisualIVR.tsx,117,min-h-[31.25rem],min-h,31.25rem,min
components/ThreeViewer.tsx,35,min-h-[20rem],min-h,20rem,min
components/ui/HotspotImage.tsx,28,h-[24rem],h,24rem,responsive
components/ui/HotspotImage.tsx,28,md:h-[37.5rem],h,37.5rem,responsive
components/ui/WhatsAppCTA.tsx,88,w-[19rem],w,19rem,guarded
features/crm/ClientsView.tsx,313,max-w-[16rem],max-w,16rem,max
features/crm/ProjectDetailView.tsx,308,max-w-[12rem],max-w,12rem,max
features/crm/QuotesView.tsx,185,min-w-[16rem],min-w,16rem,min
features/crm/QuotesView.tsx,202,min-h-[24rem],min-h,24rem,min
features/planner/3d/Planner3DViewer.tsx,285,min-w-[7rem],min-w,7rem,min
features/planner/3d/Planner3DViewer.tsx,600,min-h-[26.25rem],min-h,26.25rem,min
features/planner/3d/Planner3DViewer.tsx,673,min-h-[420px],min-h,420px,min
features/planner/3d/Planner3DViewer.tsx,709,min-h-[420px],min-h,420px,min
features/planner/3d/Planner3DViewer.tsx,750,max-w-[20rem],max-w,20rem,max
features/planner/admin/AdminAnalyticsPageView.tsx,158,min-w-[28rem],min-w,28rem,min
features/planner/admin/AdminCatalogManager.tsx,308,min-w-[12.5rem],min-w,12.5rem,min
features/planner/admin/AdminCatalogManager.tsx,328,min-w-[8.75rem],min-w,8.75rem,min
features/planner/admin/AdminCatalogManager.tsx,345,min-w-[7.5rem],min-w,7.5rem,min
features/planner/admin/AdminFormFields.tsx,56,min-h-[5.5rem],min-h,5.5rem,min
features/planner/admin/AdminFormFields.tsx,56,min-h-[5.5rem],min-h,5.5rem,min
features/planner/admin/AdminInventoryPageView.tsx,113,min-w-[16rem],min-w,16rem,min
features/planner/admin/AdminInventoryPageView.tsx,154,min-w-[48rem],min-w,48rem,min
features/planner/admin/AdminPlansPageView.tsx,353,min-w-[12rem],min-w,12rem,min
features/planner/admin/AdminWorkspaceCatalogPageView.tsx,68,min-w-[12.5rem],min-w,12.5rem,min
features/planner/admin/AdminWorkspaceCatalogPageView.tsx,101,min-w-[50rem],min-w,50rem,min
features/planner/ai/AiAdvisorChat.tsx,30,h-[30rem],h,30rem,guarded
features/planner/editor/PlannerErrorBoundary.tsx,49,min-h-[20rem],min-h,20rem,min
features/planner/onboarding/OnboardingCoach.tsx,158,max-w-[16.25rem],max-w,16.25rem,max
features/planner/onboarding/OnboardingCoach.tsx,162,min-h-[2.75rem],min-h,2.75rem,min
features/planner/onboarding/OnboardingCoach.tsx,192,w-[26.25rem],w,26.25rem,guarded
features/planner/shared/components/SplitViewLayout.tsx,58,min-w-[18.75rem],min-w,18.75rem,min
features/planner/shared/components/SplitViewLayout.tsx,62,min-w-[300px],min-w,300px,min
features/planner/ui/PlannerSaveIndicator.tsx,7,min-w-[2.75rem],min-w,2.75rem,min
features/planner/ui/PlannerSaveIndicator.tsx,7,min-h-[2.75rem],min-h,2.75rem,min
features/planner/ui/PlannerTooltip.tsx,39,min-w-[2.75rem],min-w,2.75rem,min
features/planner/ui/PlannerTooltip.tsx,39,min-h-[2.75rem],min-h,2.75rem,min
features/shared/entry/ChooseProductPage.tsx,32,min-h-[30rem],min-h,30rem,min
features/shared/entry/ChooseProductPage.tsx,32,md:min-h-[34rem],min-h,34rem,min
lib/ai/AiAdvisorPanel.tsx,80,w-[23.75rem],w,23.75rem,guarded
lib/ai/AiAdvisorPanel.tsx,80,h-[32.5rem],h,32.5rem,guarded
lib/ai/AiAdvisorPanel.tsx,81,w-[22.5rem],w,22.5rem,guarded
