kind,file,line,column,category,category_id,matched_value,line_text
tsx,app/(site)/about/page.tsx,25,24,Tailwind/CSS arbitrary [...],tailwind_arbitrary,[var(--surface-page)],"<div className=""bg-[var(--surface-page)]"">"
tsx,app/(site)/about/page.tsx,26,27,p*/m* spacing (px/py/etc),spacing_px_py,pt-16,"<section className=""pt-16"">"
tsx,app/(site)/about/page.tsx,27,34,w-/h-*,size_wh,h-[42rem],"<div className=""grid min-h-[42rem] lg:grid-cols-[0.95fr_1.05fr]"">"
tsx,app/(site)/about/page.tsx,27,36,Tailwind/CSS arbitrary [...],tailwind_arbitrary,[42rem],"<div className=""grid min-h-[42rem] lg:grid-cols-[0.95fr_1.05fr]"">"
tsx,app/(site)/about/page.tsx,27,37,rem/em,rem_em,42rem,"<div className=""grid min-h-[42rem] lg:grid-cols-[0.95fr_1.05fr]"">"
tsx,app/(site)/about/page.tsx,27,57,Tailwind/CSS arbitrary [...],tailwind_arbitrary,[0.95fr_1.05fr],"<div className=""grid min-h-[42rem] lg:grid-cols-[0.95fr_1.05fr]"">"
tsx,app/(site)/about/page.tsx,28,45,p*/m* spacing (px/py/etc),spacing_px_py,px-7,"<div className=""flex items-center px-7 py-14 md:px-14 lg:px-16"">"
tsx,app/(site)/about/page.tsx,28,50,p*/m* spacing (px/py/etc),spacing_px_py,py-14,"<div className=""flex items-center px-7 py-14 md:px-14 lg:px-16"">"
tsx,app/(site)/about/page.tsx,28,59,p*/m* spacing (px/py/etc),spacing_px_py,px-14,"<div className=""flex items-center px-7 py-14 md:px-14 lg:px-16"">"
tsx,app/(site)/about/page.tsx,28,68,p*/m* spacing (px/py/etc),spacing_px_py,px-16,"<div className=""flex items-center px-7 py-14 md:px-14 lg:px-16"">"
tsx,app/(site)/about/page.tsx,30,39,p*/m* spacing (px/py/etc),spacing_px_py,mb-5,"<p className=""typ-label mb-5 text-[var(--color-bronze-500)]"">"
tsx,app/(site)/about/page.tsx,30,44,text-* size,text_size,text-[var(--color-bronze-500)],"<p className=""typ-label mb-5 text-[var(--color-bronze-500)]"">"
tsx,app/(site)/about/page.tsx,30,49,Tailwind/CSS arbitrary [...],tailwind_arbitrary,[var(--color-bronze-500)],"<p className=""typ-label mb-5 text-[var(--color-bronze-500)]"">"
tsx,app/(site)/about/page.tsx,33,44,text-* size,text_size,"text-[clamp(2.4rem,5vw,4.4rem)]","<h1 className=""home-heading !text-[clamp(2.4rem,5vw,4.4rem)]"">"
tsx,app/(site)/about/page.tsx,33,49,Tailwind/CSS arbitrary [...],tailwind_arbitrary,"[clamp(2.4rem,5vw,4.4rem)]","<h1 className=""home-heading !text-[clamp(2.4rem,5vw,4.4rem)]"">"
tsx,app/(site)/about/page.tsx,33,56,rem/em,rem_em,2.4rem,"<h1 className=""home-heading !text-[clamp(2.4rem,5vw,4.4rem)]"">"
tsx,app/(site)/about/page.tsx,33,63,vh/vw,vh_vw,5vw,"<h1 className=""home-heading !text-[clamp(2.4rem,5vw,4.4rem)]"">"
tsx,app/(site)/about/page.tsx,33,67,rem/em,rem_em,4.4rem,"<h1 className=""home-heading !text-[clamp(2.4rem,5vw,4.4rem)]"">"
tsx,app/(site)/about/page.tsx,36,31,p*/m* spacing (px/py/etc),spacing_px_py,mt-8,"<div className=""mt-8 space-y-4"">"
tsx,app/(site)/about/page.tsx,36,36,gap/space-*,gap_space,space-y-4,"<div className=""mt-8 space-y-4"">"
tsx,app/(site)/about/page.tsx,43,62,p*/m* spacing (px/py/etc),spacing_px_py,mt-8,"<EditorialArrowLink href=""/contact"" className=""mt-8"">"
tsx,app/(site)/about/page.tsx,49,36,w-/h-*,size_wh,h-[34rem],"<div className=""grid min-h-[34rem] grid-cols-6 grid-rows-6 gap-3 p-3 md:min-h-[46rem]"">"
tsx,app/(site)/about/page.tsx,49,38,Tailwind/CSS arbitrary [...],tailwind_arbitrary,[34rem],"<div className=""grid min-h-[34rem] grid-cols-6 grid-rows-6 gap-3 p-3 md:min-h-[46rem]"">"
tsx,app/(site)/about/page.tsx,49,39,rem/em,rem_em,34rem,"<div className=""grid min-h-[34rem] grid-cols-6 grid-rows-6 gap-3 p-3 md:min-h-[46rem]"">"
tsx,app/(site)/about/page.tsx,49,70,gap/space-*,gap_space,gap-3,"<div className=""grid min-h-[34rem] grid-cols-6 grid-rows-6 gap-3 p-3 md:min-h-[46rem]"">"
tsx,app/(site)/about/page.tsx,49,76,p*/m* spacing (px/py/etc),spacing_px_py,p-3,"<div className=""grid min-h-[34rem] grid-cols-6 grid-rows-6 gap-3 p-3 md:min-h-[46rem]"">"
tsx,app/(site)/about/page.tsx,49,87,w-/h-*,size_wh,h-[46rem],"<div className=""grid min-h-[34rem] grid-cols-6 grid-rows-6 gap-3 p-3 md:min-h-[46rem]"">"
tsx,app/(site)/about/page.tsx,49,89,Tailwind/CSS arbitrary [...],tailwind_arbitrary,[46rem],"<div className=""grid min-h-[34rem] grid-cols-6 grid-rows-6 gap-3 p-3 md:min-h-[46rem]"">"
tsx,app/(site)/about/page.tsx,49,90,rem/em,rem_em,46rem,"<div className=""grid min-h-[34rem] grid-cols-6 grid-rows-6 gap-3 p-3 md:min-h-[46rem]"">"
tsx,app/(site)/about/page.tsx,56,29,style object key,style_key,width:,"sizes=""(max-width: 768px) 100vw, 54vw"""
tsx,app/(site)/about/page.tsx,56,36,Npx,px_literal,768px,"sizes=""(max-width: 768px) 100vw, 54vw"""
tsx,app/(site)/about/page.tsx,56,43,vh/vw,vh_vw,100vw,"sizes=""(max-width: 768px) 100vw, 54vw"""
tsx,app/(site)/about/page.tsx,56,50,vh/vw,vh_vw,54vw,"sizes=""(max-width: 768px) 100vw, 54vw"""
tsx,app/(site)/about/page.tsx,65,29,style object key,style_key,width:,"sizes=""(max-width: 768px) 50vw, 18vw"""
tsx,app/(site)/about/page.tsx,65,36,Npx,px_literal,768px,"sizes=""(max-width: 768px) 50vw, 18vw"""
tsx,app/(site)/about/page.tsx,65,43,vh/vw,vh_vw,50vw,"sizes=""(max-width: 768px) 50vw, 18vw"""
tsx,app/(site)/about/page.tsx,65,49,vh/vw,vh_vw,18vw,"sizes=""(max-width: 768px) 50vw, 18vw"""
tsx,app/(site)/about/page.tsx,74,29,style object key,style_key,width:,"sizes=""(max-width: 768px) 50vw, 18vw"""
tsx,app/(site)/about/page.tsx,74,36,Npx,px_literal,768px,"sizes=""(max-width: 768px) 50vw, 18vw"""
tsx,app/(site)/about/page.tsx,74,43,vh/vw,vh_vw,50vw,"sizes=""(max-width: 768px) 50vw, 18vw"""
tsx,app/(site)/about/page.tsx,74,49,vh/vw,vh_vw,18vw,"sizes=""(max-width: 768px) 50vw, 18vw"""
tsx,app/(site)/about/page.tsx,82,43,Tailwind/CSS arbitrary [...],tailwind_arbitrary,[var(--border-soft)],"<section className=""border-y border-[var(--border-soft)] bg-[var(--surface-inverse)] py-10 text-[var(--text-inverse)]"">"
tsx,app/(site)/about/page.tsx,82,67,Tailwind/CSS arbitrary [...],tailwind_arbitrary,[var(--surface-inverse)],"<section className=""border-y border-[var(--border-soft)] bg-[var(--surface-inverse)] py-10 text-[var(--text-inverse)]"">"
tsx,app/(site)/about/page.tsx,82,92,p*/m* spacing (px/py/etc),spacing_px_py,py-10,"<section className=""border-y border-[var(--border-soft)] bg-[var(--surface-inverse)] py-10 text-[var(--text-inverse)]"">"
