kind,file,lines_with_hits,match_count,categories
css,app/css/core/locked/site/home-base.css,277,492,@keyframes(1); rem/em(116); transition/animation(12); time (ms/s)(3); cubic-bezier(1); box position/size(89); %(88); z-index(1); border-radius(15); Npx(49); padding(30); gap(17); font-size(20); vh/vw(9); line-height(9); letter-spacing(10); margin(17); box-shadow(5)
css,app/css/core/locked/planner/marketing-base.css,276,490,@keyframes(1); rem/em(116); transition/animation(12); time (ms/s)(3); cubic-bezier(1); box position/size(88); %(87); z-index(1); border-radius(15); Npx(49); padding(30); gap(17); font-size(20); vh/vw(9); line-height(9); letter-spacing(10); margin(17); box-shadow(5)
css,app/css/core/locked/planner/marketing-layout-fallback.css,216,381,box position/size(68); %(95); rem/em(88); gap(21); vh/vw(6); box-shadow(5); z-index(3); border-radius(11); font-size(7); Npx(37); letter-spacing(4); line-height(5); margin(12); padding(17); time (ms/s)(2)
css,app/css/core/locked/site/home-layout-fallback.css,216,381,box position/size(68); %(95); rem/em(88); gap(21); vh/vw(6); box-shadow(5); z-index(3); border-radius(11); font-size(7); Npx(37); letter-spacing(4); line-height(5); margin(12); padding(17); time (ms/s)(2)
tsx,tech-stack-generator/src/pages/Workflows.tsx,161,370,Tailwind/CSS arbitrary [...](47); hex color(9); style object key(2); %(1); p*/m* spacing (px/py/etc)(99); rounded-*(28); gap/space-*(39); text-* size(63); Npx(17); w-/h-*(17); Tailwind palette(9); tracking/leading(14); font-weight(23); transition(1); shadow*(1)
css,app/css/core/locked/admin/admin-pages.css,203,361,box position/size(56); rem/em(129); padding(19); vh/vw(5); margin(19); %(36); border-radius(13); box-shadow(5); gap(14); font-size(25); letter-spacing(6); line-height(7); Npx(21); transition/animation(4); z-index(2)
css,components/repo-store/RepoStorePageView.module.css,146,296,box position/size(36); vh/vw(5); rem/em(47); margin(21); gap(17); padding(22); Npx(94); font-size(30); letter-spacing(6); border-radius(10); line-height(6); box-shadow(1); %(1)
css,features/planner/open3d/editor/workspace.module.css,197,272,box position/size(76); %(27); Npx(35); vh/vw(1); font-size(14); rem/em(38); line-height(3); box-shadow(9); gap(16); padding(15); z-index(7); margin(4); letter-spacing(4); border-radius(8); transition/animation(7); time (ms/s)(8)
css,app/css/core/locked/planner/marketing-type-fallback.css,107,264,font-size(32); rem/em(96); vh/vw(19); letter-spacing(25); line-height(26); box position/size(41); Npx(12); %(3); margin(5); padding(3); border-radius(1); gap(1)
css,app/css/core/locked/site/home-type-fallback.css,107,264,font-size(32); rem/em(96); vh/vw(19); letter-spacing(25); line-height(26); box position/size(41); Npx(12); %(3); margin(5); padding(3); border-radius(1); gap(1)
css,app/css/core/locked/planner/marketing-sections.css,154,258,gap(3); rem/em(74); box position/size(35); border-radius(12); font-size(16); line-height(10); transition/animation(15); padding(10); box-shadow(4); Npx(20); margin(4); letter-spacing(8); vh/vw(2); %(43); time (ms/s)(1); z-index(1)
css,app/css/core/locked/site/home-sections.css,154,258,gap(3); rem/em(74); box position/size(35); border-radius(12); font-size(16); line-height(10); transition/animation(15); padding(10); box-shadow(4); Npx(20); margin(4); letter-spacing(8); vh/vw(2); %(43); time (ms/s)(1); z-index(1)
tsx,features/planner/3d/Planner3DViewer.tsx,110,245,Tailwind/CSS arbitrary [...](102); shadow*(14); inline style={{ }}(5); w-/h-*(20); rem/em(22); rounded-*(13); p*/m* spacing (px/py/etc)(31); font-weight(12); tracking/leading(11); Npx(2); style object key(6); text-* size(1); gap/space-*(4); transition(2)
css,app/css/core/locked/planner/planner-shell.css,182,242,Npx(34); font-size(7); line-height(3); box position/size(66); vh/vw(1); gap(16); z-index(4); padding(20); rem/em(22); %(33); border-radius(13); margin(8); box-shadow(9); transition/animation(3); letter-spacing(3)
tsx,features/crm/ClientsView.tsx,99,238,Tailwind/CSS arbitrary [...](31); w-/h-*(34); gap/space-*(25); p*/m* spacing (px/py/etc)(40); rounded-*(10); text-* size(41); font-weight(24); rem/em(10); tracking/leading(11); Npx(6); style object key(1); transition(1); animate-*(2); z-index(1); Tailwind duration/delay(1)
css,app/css/core/locked/admin/admin.css,127,236,box position/size(33); vh/vw(3); transition/animation(5); z-index(3); rem/em(87); gap(14); %(24); padding(13); margin(8); Npx(12); box-shadow(7); border-radius(10); font-size(12); letter-spacing(5)
css,features/planner/open3d/editor/inventory.module.css,145,226,box position/size(40); %(10); font-size(18); rem/em(25); line-height(6); padding(25); Npx(23); border-radius(12); transition/animation(15); time (ms/s)(24); box-shadow(11); gap(10); letter-spacing(3); margin(3); @keyframes(1)
tsx,features/crm/ProjectDetailView.tsx,88,207,Tailwind/CSS arbitrary [...](24); gap/space-*(23); p*/m* spacing (px/py/etc)(41); w-/h-*(25); text-* size(36); font-weight(22); rounded-*(10); rem/em(8); tracking/leading(6); Npx(4); z-index(2); animate-*(2); Tailwind duration/delay(2); style object key(1); transition(1)
tsx,app/(site)/products/[category]/[product]/ProductViewer.tsx,106,205,w-/h-*(26); animate-*(2); rounded-*(10); Tailwind/CSS arbitrary [...](39); shadow*(3); p*/m* spacing (px/py/etc)(62); gap/space-*(14); transition(10); font-weight(8); z-index(4); inline style={{ }}(1); style object key(2); %(2); text-* size(15); Tailwind duration/delay(1); tracking/leading(6)
tsx,features/crm/QuotesView.tsx,82,203,Tailwind/CSS arbitrary [...](41); w-/h-*(23); gap/space-*(15); p*/m* spacing (px/py/etc)(37); rounded-*(8); text-* size(32); font-weight(18); rem/em(10); tracking/leading(7); Npx(7); style object key(1); transition(1); z-index(1); animate-*(1); Tailwind duration/delay(1)
css,app/css/core/locked/site/product-viewer.css,96,201,font-size(9); letter-spacing(6); rem/em(53); line-height(8); box position/size(48); z-index(1); Npx(16); %(16); padding(20); border-radius(11); box-shadow(2); gap(3); vh/vw(1); transition/animation(4); time (ms/s)(3)
tsx,features/crm/ProjectsView.tsx,79,199,Tailwind/CSS arbitrary [...](27); w-/h-*(23); gap/space-*(19); p*/m* spacing (px/py/etc)(43); rounded-*(9); text-* size(32); font-weight(21); rem/em(8); tracking/leading(8); Npx(4); transition(2); z-index(1); animate-*(1); Tailwind duration/delay(1)
